"","Remaining","Complete","Percent","Passed","Total"
"1",6911.49318981171,1549276427.47357,0.00934579439252336,65.2027659416199,6976.69595575333
"2",8970.37057924271,1549278486.35096,0.014018691588785,127.540813922882,9097.91139316559
"3",10058.7402302027,1549279574.72062,0.0186915887850467,191.59505200386,10250.3352822065
"4",10793.9162652493,1549280309.89665,0.0233644859813084,258.227661848068,11052.1439270973
"5",11286.3246720632,1549280802.30506,0.0280373831775701,325.567057847977,11611.8917299112
"6",11561.594152144,1549281077.57454,0.0327102803738318,390.971782922745,11952.5659350668
"7",11920.0667068362,1549281436.04709,0.0373831775700935,462.91521191597,12382.9819187522
"8",12087.1548516221,1549281603.13524,0.0420560747663551,530.6555788517,12617.8104304738
"9",12033.6979193687,1549281549.6783,0.0467289719626168,589.887152910233,12623.585072279
"10",12101.2978603623,1549281617.27825,0.0514018691588785,655.735352039337,12757.0332124017
"11",12227.5112987359,1549281743.49168,0.0560747663551402,726.386809825897,12953.8981085618
"12",12297.0891641103,1549281813.06955,0.0607476635514019,795.334125041962,13092.4232891523
"13",12281.2088557652,1549281797.18924,0.0654205607476635,859.684619903564,13140.8934756688
"14",12174.1561207294,1549281690.13651,0.0700934579439252,917.649958848953,13091.8060795784
"15",12075.2679077983,1549281591.24829,0.0747663551401869,975.779224872589,13051.0471326709
"16",12070.8326601561,1549281586.81305,0.0794392523364486,1041.64545798302,13112.4781181392
"17",12005.9271655613,1549281521.90755,0.0841121495327103,1102.58514785767,13108.5123134189
"18",11935.9907756981,1549281451.97116,0.088785046728972,1162.99397301674,13098.9847487148
"19",11861.1079392433,1549281377.08832,0.0934579439252336,1222.79463291168,13083.902572155
"20",11844.5941860562,1549281360.57457,0.0981308411214953,1288.79004096985,13133.3842270261
"21",11779.0876880993,1549281295.06807,0.102803738317757,1349.68713092804,13128.7748190273
"22",11705.8300283992,1549281221.81041,0.107476635514019,1409.60256886482,13115.432597264
"23",11748.8662596544,1549281264.84664,0.11214953271028,1484.06731700897,13232.9335766633
"24",11781.0936886597,1549281297.07407,0.116822429906542,1558.34572601318,13339.4394146729
"25",11842.8874162894,1549281358.8678,0.121495327102804,1637.84613204002,13480.7335483294
"26",11830.073260113,1549281346.05365,0.126168224299065,1708.08544397354,13538.1587040866
"27",11821.0294709546,1549281337.00986,0.130841121495327,1779.50981283188,13600.5392837865
"28",11778.2762608446,1549281294.25665,0.135514018691589,1846.3243868351,13624.6006476797
"29",11735.6548349381,1549281251.63522,0.14018691588785,1913.42198395729,13649.0768188953
"30",11695.528122702,1549281211.50851,0.144859813084112,1981.20968198776,13676.7378046897
"31",11664.35683465,1549281180.33722,0.149532710280374,2050.87592697144,13715.2327616215
"32",11635.0472438046,1549281151.02763,0.154205607476636,2121.30695605278,13756.3541998574
"33",11588.802114655,1549281104.7825,0.158878504672897,2188.99595499039,13777.7980696454
"34",11529.1204361984,1549281045.10082,0.163551401869159,2254.29729199409,13783.4177281925
"35",11481.7658299738,1549280997.74622,0.168224299065421,2322.15488696098,13803.9207169347
"36",11438.1077478125,1549280954.08813,0.172897196261682,2391.01687383652,13829.124621649
"37",11383.3530707108,1549280899.33346,0.177570093457944,2457.76941299438,13841.1224837052
"38",11322.8585929443,1549280838.83898,0.182242990654206,2523.37991499901,13846.2385079433
"39",11261.3243004084,1549280777.30469,0.186915887850467,2588.81018400192,13850.1344844103
"40",11211.0020737066,1549280726.98246,0.191588785046729,2656.94268798828,13867.9447616949
"41",11163.4505857967,1549280679.43097,0.196261682242991,2725.95886397362,13889.4094497703
"42",11108.3497661491,1549280624.33015,0.200934579439252,2793.32771897316,13901.6774851222
"43",11046.7284621434,1549280562.70885,0.205607476635514,2859.15324902534,13905.8817111687
"44",10993.516942358,1549280509.49733,0.210280373831776,2927.26782488823,13920.7847672462
"45",10942.4422507493,1549280458.42264,0.214953271028037,2996.14490199089,13938.5871527402
"46",10888.5471836354,1549280404.52757,0.219626168224299,3064.4414229393,13952.9886065747
"47",10848.5817732513,1549280364.56216,0.224299065420561,3136.93930792809,13985.5210811794
"48",10788.5482919703,1549280304.52868,0.228971962616822,3203.87191700935,13992.4202089796
"49",10740.387561264,1549280256.36795,0.233644859813084,3274.5084028244,14014.8959640884
"50",10677.6962312063,1549280193.67662,0.238317757009346,3340.87428092957,14018.5705121358
"51",10618.9116588648,1549280134.89204,0.242990654205607,3408.53954482079,14027.4512036855
